FAM	D	T	L
fix_1385_c60_lg_combined.ale.uml_rec	1e-06	0.163537	0.415804
fix_5341_c60_lg_combined.ale.uml_rec	0.279783	0.479087	1e-06
fix_2509_c60_lg_combined.ale.uml_rec	4.18629e-05	0.135215	0.426785
fix_4780_c60_lg_combined.ale.uml_rec	1e-06	0.000206922	0.52862
fix_442_c60_lg_combined.ale.uml_rec	0.0349975	0.239006	0.126905
fix_2731_c60_lg_combined.ale.uml_rec	0.722404	0.373251	0.622031
fix_5179_c60_lg_combined.ale.uml_rec	0.606807	1e-06	0.667989
fix_5047_c60_lg_combined.ale.uml_rec	1e-06	0.170875	1e-06
fix_1083_c60_lg_combined.ale.uml_rec	0.0669351	0.298532	0.219534
fix_2893_c60_lg_combined.ale.uml_rec	0.62403	0.152899	0.558357
fix_4822_c60_lg_combined.ale.uml_rec	0.408542	0.57679	0.972557
fix_4984_c60_lg_combined.ale.uml_rec	1e-06	1e-06	1e-06
fix_3150_c60_lg_combined.ale.uml_rec	0.250859	0.758607	0.833024
fix_4718_c60_lg_combined.ale.uml_rec	1e-06	0.250967	1e-06
fix_2935_c60_lg_combined.ale.uml_rec	0.000194408	0.0431526	0.223099
fix_1125_c60_lg_combined.ale.uml_rec	0.084666	0.218297	0.359571
fix_2697_c60_lg_combined.ale.uml_rec	0.157655	0.000290115	0.206977
fix_4626_c60_lg_combined.ale.uml_rec	0.258462	7.55132e-06	0.456382
fix_3256_c60_lg_combined.ale.uml_rec	0.000941359	0.921137	0.876058
fix_940_c60_lg_combined.ale.uml_rec	0.34543	0.116056	0.727604
fix_1223_c60_lg_combined.ale.uml_rec	1.02731	1e-06	0.118495
fix_2591_c60_lg_combined.ale.uml_rec	1.05034	4.55051e-05	0.222237
fix_3368_c60_lg_combined.ale.uml_rec	0.427697	0.378141	1e-06
fix_4004_c60_lg_combined.ale.uml_rec	1.07809	1e-06	0.363017
fix_1639_c60_lg_combined.ale.uml_rec	0.000120874	0.230956	0.294562
fix_1707_c60_lg_combined.ale.uml_rec	0.589811	1e-06	0.65009
fix_3772_c60_lg_combined.ale.uml_rec	2.71673e-06	0.127465	1e-06
fix_4302_c60_lg_combined.ale.uml_rec	0.446252	7.39279e-06	0.101507
fix_1401_c60_lg_combined.ale.uml_rec	1.04106	1e-06	0.133622
fix_3474_c60_lg_combined.ale.uml_rec	0.391332	3.16667e-06	0.289987
fix_2749_c60_lg_combined.ale.uml_rec	1e-06	0.74862	0.889235
fix_5101_c60_lg_combined.ale.uml_rec	1e-06	1e-06	0.168419
fix_4964_c60_lg_combined.ale.uml_rec	1e-06	1e-06	1e-06
fix_504_c60_lg_combined.ale.uml_rec	0.248131	0.497249	0.550001
fix_2677_c60_lg_combined.ale.uml_rec	1e-06	0.406755	0.176697
fix_5207_c60_lg_combined.ale.uml_rec	0.442083	8.93655e-06	0.0970607
fix_3388_c60_lg_combined.ale.uml_rec	0.365398	0.662452	0.907229
fix_602_c60_lg_combined.ale.uml_rec	0.05028	0.22406	0.355972
fix_5339_c60_lg_combined.ale.uml_rec	3.35998e-06	0.173151	0.348082
fix_2571_c60_lg_combined.ale.uml_rec	2.41379e-05	0.306144	1e-06
fix_2055_c60_lg_combined.ale.uml_rec	0.122585	0.102742	0.396258
fix_1845_c60_lg_combined.ale.uml_rec	0.146474	0.453902	0.712807
fix_3830_c60_lg_combined.ale.uml_rec	0.233644	0.37679	0.261317
fix_326_c60_lg_combined.ale.uml_rec	0.0723567	0.174874	0.284222
fix_218_c60_lg_combined.ale.uml_rec	1e-06	0.305271	0.26947
fix_3792_c60_lg_combined.ale.uml_rec	0.125714	1e-06	1e-06
fix_2353_c60_lg_combined.ale.uml_rec	1.06366e-05	0.222952	0.140697
fix_3494_c60_lg_combined.ale.uml_rec	1e-06	0.469538	0.62759
fix_5425_c60_lg_combined.ale.uml_rec	1.0926	1e-06	0.459587
fix_2536_c60_lg_combined.ale.uml_rec	0.196573	0.449899	0.752521
fix_645_c60_lg_combined.ale.uml_rec	1e-06	0.305154	0.0819488
fix_4587_c60_lg_combined.ale.uml_rec	1e-06	0.859884	0.934168
fix_1284_c60_lg_combined.ale.uml_rec	0.207063	1e-06	0.677378
fix_5240_c60_lg_combined.ale.uml_rec	0.442083	8.93655e-06	0.0970607
fix_2408_c60_lg_combined.ale.uml_rec	0.445685	0.657311	0.655466
fix_2630_c60_lg_combined.ale.uml_rec	0.674933	0.125452	0.403883
fix_5078_c60_lg_combined.ale.uml_rec	1e-06	1e-06	1e-06
fix_543_c60_lg_combined.ale.uml_rec	1e-06	0.1859	0.242355
fix_4681_c60_lg_combined.ale.uml_rec	0.282783	1e-06	0.737825
fix_4923_c60_lg_combined.ale.uml_rec	0.460111	0.592532	0.876243
fix_2992_c60_lg_combined.ale.uml_rec	0.161652	7.93102e-05	0.485051
fix_5146_c60_lg_combined.ale.uml_rec	1e-06	1e-06	1e-06
fix_1182_c60_lg_combined.ale.uml_rec	0.0779297	0.100345	0.303297
fix_5462_c60_lg_combined.ale.uml_rec	1.08257	1e-06	0.452965
fix_159_c60_lg_combined.ale.uml_rec	0.0468841	0.0354991	0.107446
fix_1598_c60_lg_combined.ale.uml_rec	0.413807	0.633882	0.724882
fix_2314_c60_lg_combined.ale.uml_rec	0.959576	0.151999	0.344889
fix_3949_c60_lg_combined.ale.uml_rec	0.504205	4.54061e-05	0.0191213
fix_78_c60_lg_combined.ale.uml_rec	0.123356	0.0255465	0.167171
fix_361_c60_lg_combined.ale.uml_rec	0.084809	0.164902	0.356769
fix_3877_c60_lg_combined.ale.uml_rec	0.151845	0.134412	1e-06
fix_1802_c60_lg_combined.ale.uml_rec	0.314184	0.588838	0.717816
fix_2012_c60_lg_combined.ale.uml_rec	0.183292	0.456402	0.523189
fix_4567_c60_lg_combined.ale.uml_rec	1e-06	1e-06	0.299945
fix_839_c60_lg_combined.ale.uml_rec	1e-06	0.289303	0.307094
fix_1264_c60_lg_combined.ale.uml_rec	0.0522787	0.138538	1e-06
fix_907_c60_lg_combined.ale.uml_rec	2.65037e-05	0.508923	0.191892
fix_4459_c60_lg_combined.ale.uml_rec	1.19313e-05	0.489472	0.449508
fix_3211_c60_lg_combined.ale.uml_rec	1.06486	1e-06	0.287296
fix_3029_c60_lg_combined.ale.uml_rec	0.348836	1e-06	0.718223
fix_4661_c60_lg_combined.ale.uml_rec	0.263161	0.484701	1e-06
fix_5098_c60_lg_combined.ale.uml_rec	1e-06	1e-06	1e-06
fix_1162_c60_lg_combined.ale.uml_rec	1e-06	0.525708	0.586718
fix_2972_c60_lg_combined.ale.uml_rec	0.930413	0.187495	0.397637
fix_3117_c60_lg_combined.ale.uml_rec	0.106765	1e-06	1e-06
fix_3433_c60_lg_combined.ale.uml_rec	1.07968	4.78724e-05	0.361088
fix_5482_c60_lg_combined.ale.uml_rec	1.10867	1e-06	0.510097
fix_1446_c60_lg_combined.ale.uml_rec	0.372099	0.214509	0.61842
